Author	n (strains)	publication title	journal	publication URL	strains
?national centre for disease control (ncdc)	7			unknown	A/India/159/2014
aichi prefectural institute of public health	77			unknown	A/Aichi/74/2011,A/Aichi/189/2011,A/Aichi/100/2015,A/Aichi/178/2016
centers for disease control and prevention	9518			unknown	A/BurkinaFaso/876/2013,A/California/5/2009,A/Kyrgyzstan/15/2010,A/Guatemala/175/2010,A/Bangladesh/2872/2009,A/Brazil/1394/2010,A/StPetersburg/1/2009,A/Kyrgyzstan/243/2009,A/Brazil/7029/2010,A/Guam/6687/2009,A/Peru/107/2013,A/Bolivia/272/2010,A/Brazil/3931/2010,A/Colombia/330/2009,A/Mexico/2964/2009,A/California/4/2009,A/Guangdong-Xiangzhou/1623/2011,A/Venezuela/29/2010,A/Suriname/777/2010,A/Alaska/14/2011,A/Ethiopia/6/2010,A/Tanzania/412/2011,A/Colombia/7779/2010,A/Indiana/5/2010,A/Venezuela/80/2011,A/Valparaiso/11240/2011,A/Oman/1102/2011,A/Trinidad/1648/2011,A/Natal/117057/2012,A/Kenya/7495/2011,A/Uruguay/863/2011,A/Argentina/1171/2011,A/Bolivia/262/2011,A/Ontario/RV1255/2011,A/Uganda/2707/2011,A/Brazil/229/2012,A/Santiago/14689/2011,A/Santiago/17529/2011,A/Paraguay/188/2011,A/Paraguay/105/2011,A/Colombia/4117/2009,A/NorthCarolina/6/2010,A/India/3725/2010,A/Florida/8/2011,A/Bangladesh/6004/2010,A/Pakistan/680/2011,A/Srinigar/4/2011,A/Srinigar/234/2011,A/Srinigar/385/2011,A/Tanzania/386/2009,A/Bolivia/1516/2010,A/NewHampshire/3/2010,A/Singapore/57/2009,A/Dnipropetrovsk/448/2010,A/NewYork/10/2009,A/Kenya/3862/2010,A/Peru/8409/2009,A/Nigeria/5382/2011,A/Nigeria/7781/2012,A/Nigeria/3310/2010,A/BurkinaFaso/595/2012,A/BurkinaFaso/26/2012,A/Ethiopia/180/2012,A/Minnesota/16/2012,A/Ethiopia/198/2012,A/India/4725/2009,A/Venezuela/27/2010,A/Paraguay/901/2010,A/Arizona/7/2010,A/Idaho/14/2009,A/NorthCarolina/35/2009,A/CostaRica/5529/2010,A/Hawaii/19/2010,A/Alabama/6/2010,A/Taiwan/439/2010,A/India/3508/2010,A/Mississippi/4/2010,A/Arizona/5/2010,A/Panama/307207/2010,A/CostaRica/6692/2010,A/Uganda/617/2011,A/India/8910/2010,A/Srinigar/126/2011,A/Argentina/7/2011,A/Hawaii/16/2010,A/Ayutthaya/283/2012,A/Gyeongnam/3526/2012,A/Arkansas/6/2010,A/Mississippi/4/2011,A/HongKong/3973/2011,A/Saipan/6194/2012,A/Hawaii/47/2012,A/California/24/2011,A/AmericanSamoa/4520/2011,A/Florida/15/2012,A/Utah/16/2012,A/Wisconsin/11/2012,A/Venezuela/620/2012,A/CostaRica/6288/2012,A/Mexico/3720/2011,A/SouthCarolina/13/2012,A/Peru/429/2012,A/SouthCarolina/15/2012,A/Peru/2023/2012,A/Peru/505/2012,A/Hunan-Xiangtan/141/2011,A/Nonthaburi/78/2011,A/PuertoRico/25/2011,A/PuertoRico/9/2011,A/PuertoRico/4/2011,A/Vietnam/105/2012,A/Hawaii/5/2011,A/Srinigar/827/2011,A/Indiana/167/2012,A/Panama/313106/2013,A/Bangladesh/8399/2012,A/Virginia/13/2012,A/Srinigar/1186/2011,A/Kenya/2708/2010,A/Florida/15/2010,A/PuertoRico/5/2011,A/PuertoRico/2/2011,A/Illinois/2/2011,A/India/4947/2011,A/Kenya/1215/2011,A/Kenya/2994/2011,A/Panama/309335/2011,A/Iquique/50771/2012,A/Paraguay/191/2011,A/Argentina/48/2012,A/Argentina/41/2012,A/Pennsylvania/14/2011,A/Bangladesh/9751/2011,A/Maryland/31/2012,A/Ethiopia/128/2012,A/Oman/1528/2011,A/Oman/292/2012,A/Phuket/294/2012,A/Sainshand/1940/2012,A/Texas/90/2012,A/NorthCarolina/20/2012,A/Cambodia/10077/2013,A/Bangladesh/2033/2012,A/Ethiopia/185/2012,A/Bangladesh/8063/2012,A/Bangladesh/6154/2012,A/Ethiopia/205/2012,A/Bangladesh/5041/2012,A/Uganda/1625/2014,A/Uganda/856/2014,A/NewMexico/8/2011,A/Suriname/221/2011,A/Texas/10/2011,A/Bangladesh/2110/2011,A/Colombia/1400/2011,A/Florida/38/2012,A/Brazil/5672/2012,A/Brazil/1203/2012,A/Nebraska/10/2012,A/Argentina/1033/2012,A/Brazil/8746/2012,A/Bangladesh/8324/2011,A/India/5756/2011,A/India/449/2012,A/India/447/2012,A/Michigan/24/2012,A/Peru/193/2013,A/CostaRica/5802/2013,A/Texas/27/2013,A/Niakhar/937/2013,A/Vietnam/CD291/2013,A/Suriname/24/2013,A/Vietnam/3041/2013,A/Ecuador/1373/2013,A/Tanzania/309/2012,A/India/2227/2012,A/NewJersey/7/2012,A/Vietnam/173/2013,A/Kenya/128/2013,A/India/2080/2012,A/Gansu-Ganzhou/35/2012,A/Arizona/1/2013,A/Tanzania/2131/2012,A/MarDelPlata/10091/2013,A/Niakhar/2685/2013,A/India/5416/2012,A/Nebraska/5/2013,A/Hawaii/1/2013,A/Brazil/301/2013,A/Brazil/8500/2013,A/Ontario/RV3535/2014,A/Louisiana/5/2013,A/HongKong/5008/2013,A/Amazonas/129967-IEC/2014,A/Congo/2278/2014,A/HongKong/5958/2014,A/Bolivia/559/2013,A/Bolivia/973/2014,A/Brazil/122/2014,A/Bangladesh/2002/2013,A/Indiana/12/2013,A/Florida/42/2013,A/Montana/4/2014,A/Chanthaburi/190/2014,A/Guatemala/58/2014,A/Nonthaburi/375/2014,A/Nonthaburi/2398/2014,A/Jeonbuk/312/2015,A/Bangladesh/3003/2013,A/Georgia/4/2013,A/Hawaii/7/2014,A/Colorado/13/2013,A/Peru/199/2013,A/Brazil/2992/2014,A/Bahrain/575/2014,A/Uruguay/379/2014,A/FrenchGuiana/1065/2014,A/Arkansas/16/2013,A/PuertoRico/16/2014,A/Bahrain/231/2013,A/Santiago/80550/2013,A/Bolivia/696/2013,A/Argentina/362/2013,A/India/2213/2013,A/Texas/2/2014,A/Congo/2275/2014,A/NewYork/9/2014,A/Santiago/66221/2014,A/Panama/315031/2014,A/CostaRica/3550/2014,A/Brazil/8301/2014,A/California/13/2014,A/Concepcion/39750/2015,A/Colombia/497/2015,A/Valdivia/78346/2015,A/India/5964/2014,A/Lao/56/2015,A/Alaska/36/2014,A/Ethiopia/63/2014,A/HongKong/5994/2014,A/Egypt/4758/2014,A/Ethiopia/1149/2014,A/CostaRica/2681/2014,A/Brazil/4451/2014,A/Bahrain/602/2014,A/Egypt/4372/2014,A/Colombia/4522/2015,A/Colombia/4280/2015,A/Colombia/4335/2015,A/Colombia/2537/2015,A/Ecuador/2375/2015,A/Lao/951/2014,A/Lao/952/2014,A/Lao/66/2015,A/Lao/193/2015,A/Minnesota/15/2014,A/Minnesota/8/2014,A/California/56/2014,A/Vietnam/6024/2016,A/Indiana/21/2016,A/Minnesota/32/2015,A/Vietnam/6025/2016,A/Iowa/53/2015,A/Vietnam/6041/2016,A/Shanghai-Putuo/1860/2015,A/Shanghai-Jiading/1970/2015,A/NorthDakota/2/2014,A/Wisconsin/20/2014,A/Lao/1187/2014,A/Alaska/38/2014,A/Alaska/37/2014,A/HongKong/7561/2014,A/DominicanRepublic/9333/2015,A/DominicanRepublic/9252/2015,A/Dominica/676/2015,A/CostaRica/1091/2016,A/CostaRica/7878/2015,A/Guatemala/178/2016,A/Nicaragua/8173/2015,A/Guatemala/80/2016,A/Guatemala/86/2016,A/Florida/63/2014,A/Wisconsin/51/2014,A/California/23/2015,A/FrenchGuiana/4072/2015,A/Peru/4/2015,A/Ulsan/58/2015,A/Gyeongbuk/408/2015,A/Ulsan/53/2015,A/Florida/62/2014,A/Hawaii/41/2015,A/Mali/84/2016,A/Mali/26HGT/2015,A/Daegu/2001/2014,A/Maevatanana/4194/2015,A/Antananarivo/3825/2016,A/Bangladesh/9584/2015,A/Hawaii/50/2015,A/Hawaii/64/2014,A/Paraguay/1871/2015,A/Paraguay/5333/2015,A/Paraguay/1876/2015,A/California/33/2015,A/Mali/71Ci/2015,A/Zambia/302/2015,A/SouthAfrica/5287/2015,A/Congo/742/2016,A/Congo/691/2016,A/India/2167/2013,A/India/3743/2013,A/Bangladesh/5010/2015,A/Florida/47/2015,A/Bangladesh/3/2015,A/Taiwan/1036/2015,A/HongKong/11699/2015,A/Bangladesh/4008/2015,A/Bangladesh/9001/2015,A/Bangladesh/3002/2015,A/Bangladesh/20007/2015,A/Indonesia/Nihrd-Plk135/2016,A/Nepal/142/2016,A/Nepal/810/2015,A/Nepal/202/2016,A/Nepal/3574/2015,A/Nepal/782/2015,A/Kenya/109/2016,A/Kenya/102/2016,A/Kenya/104/2016,A/Nepal/147/2016,A/Afghanistan/112/2016,A/Ethiopia/1784/2015,A/Arizona/40/2015,A/HongKong/15581/2015,A/Michigan/45/2015,A/NewYork/61/2015,A/Bangladesh/8007/2015,A/Bahrain/1003/2015,A/Bahrain/504/2015,A/Oman/4783/2016,A/Massachusetts/24/2015,A/Lao/858/2016,A/Lao/656/2017,A/HongKong/2318/2016,A/Lao/1035/2017,A/Lao/365/2017,A/Lao/1448/2017,A/HongKong/223/2017,A/HongKong/3648/2017,A/Lao/4573/2016,A/Lao/4633/2016,A/Lao/2618/2016,A/PrachuapKhiriKhan/314/2016,A/Lao/1117/2017,A/Lao/2979/2016,A/Lao/3660/2016,A/Kanagawa/206/2016,A/India/5714/2015,A/Antananarivo/3663/2016,A/StPetersburg/11/2015,A/CostaRica/5068/2016,A/Singapore/GP1908/2015,A/Michigan/70/2015,A/Congo/121/2017,A/Colombia/1157/2016,A/NewZealand/841/2016,A/NewZealand/967/2016,A/Armenia/1325/2016,A/Pakistan/1383/2016,A/NewZealand/1148/2016,A/Ecuador/2572/2016,A/California/153/2016,A/Suriname/1295/2016,A/Suriname/1437/2016,A/Ecuador/33/2017,A/Suriname/1289/2016,A/Colombia/3732/2017,A/Oman/5450/2016,A/Bolivia/493/2017,A/Bolivia/800/2017,A/Antsirabe/5599/2016,A/Sapporo/94/2016,A/Dnipro/765/2016,A/NewZealand/842/2016,A/Mexico/4115/2016,A/Colombia/973/2016,A/Mozambique/344/2017,A/Hawaii/85/2016,A/Bolivia/351/2017,A/California/172/2016,A/Mexico/4211/2016,A/Mexico/4213/2016,A/Mexico/4262/2016,A/HongKong/2369/2016,A/Nepal/417/2016,A/Vietnam/6045/2016,A/Lao/3129/2016,A/Yunnan-Simao/1989/2016,A/Yunnan-Wuhua/1938/2016,A/Vietnam/6042/2016,A/Panama/318595/2016,A/Victoria/501/2016,A/Taiwan/780/2016,A/Pernambuco/138700/2016,A/Brazil/1168/2016,A/Pernambuco/139510-IEC/2016,A/Pernambuco/138673-IEC/2016,A/Bahia/133/2017,A/Afghanistan/92/2016,A/Afghanistan/87/2016,A/Peru/716/2016,A/Paraguay/3397/2016,A/Cambodia/1326/2015,A/Arizona/40/2017,A/Kyiv/316/2017,A/Mali/199/2017,A/Mali/95/2017,A/Mali/106/2017,A/Lao/2197/2017,A/Shanghai-Huangpu/13439/2016,A/NewJersey/25/2017,A/Guizhou-Qingzhen/1331/2017,A/HongKong/3650/2017,A/Suriname/2158/2017,A/BurkinaFaso/2105/2017,A/BurkinaFaso/2106/2017,A/BurkinaFaso/2108/2017,A/BurkinaFaso/145/2017,A/Mali/19/2017,A/Mali/25/2017,A/Tomsk/1767/2016,A/Montenegro/324/2016,A/Tomsk/10/2016,A/Vietnam/GHS689/2017,A/Vietnam/Lisn148/2017,A/Vietnam/GHS741/2017,A/Nonthaburi/393/2015,A/Cheboksary/128/2016,A/Nepal/527/2016,A/Nepal/516/2016,A/Esteli/33/2016,A/StPetersburg/156/2016,A/Ceara/141587-IEC/2016,A/Bolivia/586/2017,A/Kentucky/21/2017,A/Colombia/1466/2016,A/Honduras/9053/2016,A/NewZealand/1937/2016,A/HongKong/2352/2016,A/Ceara/145605-IEC/2017,A/Bolivia/2127/2016,A/Brazil/536/2017,A/Brazil/526/2017,A/Montana/50/2016,A/California/45/2017,A/CostaRica/4631/2016,A/Brazil/8394/2016,A/NewMexico/53/2016,A/Mexico/2051/2017,A/Peru/9716/2016,A/Texas/157/2016,A/Taiwan/1407/2017,A/Bahrain/263/2017,A/Bangladesh/1005/2017,A/NewZealand/591/2017,A/India/9574/2016,A/India/9573/2016,A/India/1710/2017,A/Bahrain/211/2017,A/Maldives/71/2017,A/Maldives/446/2017,A/Maldives/176/2017,A/Bangladesh/1222/2017,A/Bangladesh/11/2017,A/Bangladesh/1012/2017,A/India/1030/2017,A/Arizona/33/2017,A/Pakistan/77/2017,A/Ontario/RV2297/2017,A/Georgia/17/2017,A/India/1706/2017,A/Michigan/279/2017,A/HongKong/4997/2017,A/Maldives/1499/2017,A/Tanzania/144/2018,A/India/7078/2017,A/India/9929/2017,A/Oman/4775/2017,A/Pakistan/456/2018,A/NewZealand/2341/2017,A/Taiwan/1437/2017,A/California/73/2017,A/Philippines/935/2017,A/Tokyo/EH1608/2017,A/Pakistan/317/2017,A/Ecuador/533/2017,A/Vietnam/216/2018,A/NewZealand/2280/2017,A/NewZealand/2264/2017,A/Michigan/272/2017,A/Ontario/RV2293/2017,A/AbuDhabi/130/2018,A/India/3188/2018,A/Aichi/17/2018,A/Phetchaburi/1136/2018,A/Lao/220/2018,A/AbuDhabi/178/2017,A/Alabama/22/2017,A/India/2613/2017,A/India/5869/2017,A/Oman/5276/2017,A/India/4769/2018,A/Cambodia/1161/2017,A/India/4316/2018,A/SouthAfrica/R09314/2018,A/SouthAfrica/5719/2018,A/Brazil/823713/2018,A/Minnesota/34/2018,A/NewJersey/13/2018,A/Alabama/2/2018,A/Cambodia/1095/2017,A/India/322/2017,A/Indiana/36/2017,A/Chanthaburi/317/2018,A/Bolivia/1696/2018,A/Bolivia/2144/2018,A/Beijing-Xicheng/1633/2018,A/Dundgovi/1639/2018,A/Lao/3795/2017,A/Illinois/1/2019,A/Minnesota/60/2018,A/Suriname/288/2018,A/ElSalvador/667/2018,A/Tanzania/1175/2018,A/Tanzania/1177/2018,A/India/1035/2017,A/Bangkok/99/2018,A/AbuDhabi/136/2018,A/India/1038/2017,A/Ecuador/3670/2017,A/Peru/7118/2018,A/Argentina/13782/2018,A/Pennsylvania/126/2018,A/Ecuador/385/2018,A/Ecuador/271/2018,A/Argentina/224/2018,A/Bolivia/1912/2018,A/Coyhaique/95157/2018,A/Bahrain/384/2018,A/Bahrain/381/2018,A/BurkinaFaso/821/2018,A/BurkinaFaso/954/2018,A/Trinidad/2176/2017,A/Cambodia/905/2017,A/Oman/2080/2018,A/Nigeria/3406/2018,A/DominicanRepublic/514/2018,A/Oman/1295/2018,A/Hunan-Wuling/1468/2018,A/AbuDhabi/186/2017,A/SouthAfrica/R10451/2018,A/Idaho/7/2018,A/Kentucky/33/2018,A/Nevada/2/2018,A/Santiago/108998/2018,A/NewZealand/1755/2017,A/NakhonRatachasima/217/2017,A/NewMexico/19/2017,A/HongKong/4820/2017,A/Taiwan/80642/2018,A/Kuwait/6371/2018,A/Taiwan/79432/2018,A/DominicanRepublic/229/2018,A/Arizona/64/2017,A/Brazil/5026/2017,A/AbuDhabi/18/2017,A/India/2823/2017,A/India/3405/2017,A/Congo/623/2017,A/Congo/520/2017,A/Congo/571/2017,A/Macedonia/283/2018,A/Kenya/112/2018,A/DominicanRepublic/324/2018,A/Macedonia/246/2018,A/Switzerland/2656/2017,A/Bolivia/118/2018,A/Bolivia/290/2018,A/Bolivia/1906/2018,A/SouthAfrica/R08871/2018,A/Taiwan/80730/2018,A/Maldives/369/2018,A/Kazakhstan/581/2018,A/Martinique/87/2017,A/SouthAfrica/R10079/2018,A/Uganda/6108/2018,A/Dnipro/413/2018,A/Bangladesh/256/2018,A/Bangladesh/254/2018,A/AbuDhabi/108/2018,A/Bangladesh/159/2018,A/Bangladesh/249/2018,A/Bangladesh/9012/2018,A/Santiago/106364/2018,A/Bangladesh/1500/2018,A/Bangladesh/1472/2018,A/DominicanRepublic/493/2018,A/NewYork/2/2019,A/CoteDIvoire/1901/2017,A/CoteDIvoire/1905/2017,A/Bolivia/171/2018,A/AbuDhabi/105/2018,A/SierraLeone/108/2018,A/SierraLeone/105/2018,A/SierraLeone/145/2018,A/Switzerland/3330/2017,A/Guyane/341/2017,A/DominicanRepublic/267/2018,A/Iowa/59/2018,A/Bangkok/148/2018
